model,canonical_id,mean_nme
YOLO pose,1,0.012549280627655379
YOLO pose,2,0.017984451205906502
YOLO pose,3,0.020134566038845312
YOLO pose,4,0.020979219913564204
YOLO pose,5,0.012441939514178692
YOLO pose,6,0.011909901512603594
YOLO pose,7,0.012622536202960472
YOLO pose,8,0.015732185892767182
YOLO pose,9,0.016538552775785607
YOLO pose,10,0.014363677532650795
YOLO pose,11,0.015438287856600067
ResNet-34,1,0.00438425615987915
ResNet-34,2,0.010277950202664228
ResNet-34,3,0.012261559260761697
ResNet-34,4,0.01088231131033663
ResNet-34,5,0.006485982649575499
ResNet-34,6,0.0050714050413646575
ResNet-34,7,0.006013293337427702
ResNet-34,8,0.006298963226909424
ResNet-34,9,0.011054876203491734
ResNet-34,10,0.008666588057139225
ResNet-34,11,0.00801108875362463
DINOv2,1,0.006201851334528015
DINOv2,2,0.012184554944161258
DINOv2,3,0.012090955759116524
DINOv2,4,0.013525302530731271
DINOv2,5,0.007746562507735813
DINOv2,6,0.0065500835430777355
DINOv2,7,0.007563477391537507
DINOv2,8,0.009497161307795059
DINOv2,9,0.012478599438832179
DINOv2,10,0.009683438135771235
DINOv2,11,0.009123775525140217
DINOv2 + geometry,1,0.006201438351993927
DINOv2 + geometry,2,0.01218491770923318
DINOv2 + geometry,3,0.012012907182578952
DINOv2 + geometry,4,0.013518582809350277
DINOv2 + geometry,5,0.007742907615320174
DINOv2 + geometry,6,0.006566371465026985
DINOv2 + geometry,7,0.007559881541823982
DINOv2 + geometry,8,0.0094663649727293
DINOv2 + geometry,9,0.012460625023205519
DINOv2 + geometry,10,0.00966522601053887
DINOv2 + geometry,11,0.009118418815322753
