model,images,detected,representation,nme_normalizer,nme_n,nme_mean,nme_ci95_low,nme_ci95_high,pck_mean_all_images,pck_ci95_low,pck_ci95_high
YOLO pose,382,382,annotation-assisted axial,role-1-to-role-6 working axial span,382,0.015517690824865253,0.014861583659947617,0.016237456562727515,0.9785816277962874,0.9721561161351737,0.9838172298905284
ResNet-34,382,382,annotation-assisted axial,role-1-to-role-6 working axial span,382,0.008128024927561327,0.007692560926664429,0.008610220178397346,0.9945264159923848,0.9919086149452643,0.9966682532127559
DINOv2,382,382,annotation-assisted axial,role-1-to-role-6 working axial span,382,0.009695069310766071,0.009365155835975513,0.010063507627307374,0.9940504521656355,0.9914326511185151,0.996198238933841
DINOv2 + geometry,382,382,annotation-assisted axial,role-1-to-role-6 working axial span,382,0.009681603772465809,0.009353728094139178,0.01004595475080181,0.9940504521656355,0.9914326511185151,0.996198238933841
