canonical_id,pair_count,icc_a1_x,icc_a1_y,mean_nme_image_diagonal,ci95_low,ci95_high,mean_nme_body_axis,nme_body_axis_ci95_low,nme_body_axis_ci95_high,point_label
1,106,0.9999721637825685,0.9999524130820876,0.002300334027358742,0.0020625952107132025,0.0025348771476460127,0.004470673074567669,0.003944031728106696,0.005022701393446463,snout tip
2,106,0.9991232547002455,0.9994328452307177,0.0066437303273627745,0.005395267642711237,0.00793960706344694,0.012123385063350898,0.010074562264603385,0.014199018393021111,nape dorsal outline
3,106,0.9431571067114678,0.9750078467351043,0.013255676265800608,0.006175951605810046,0.02241976478225047,0.022502296713710568,0.011065987203610754,0.036787068898247954,dorsal fin origin
4,106,0.9978013233939192,0.9972318204544413,0.006109543925203039,0.004851991720812416,0.007482896802208462,0.011920809080083366,0.00934444105660655,0.01491977872132531,dorsal fin insertion
5,106,0.9989546419470681,0.999450034212988,0.0074713798075972315,0.006410947728958637,0.008550939146018413,0.01413727501886145,0.012098542416847914,0.016188389396040906,upper caudal fin insertion
6,106,0.9997048972949111,0.9998727802834296,0.0036594415107551455,0.0030251586957945587,0.004398470152261928,0.006974963281359017,0.005784650637514,0.008378347759893868,caudal peduncle midpoint
7,106,0.9994401478851164,0.9998070785499928,0.005057003079771911,0.004282971087297383,0.005907578408604852,0.00969737771751206,0.008146698128525942,0.011323164180491483,lower caudal fin insertion
8,106,0.9120856934634693,0.9699965405332193,0.01340230604837128,0.006803797226949135,0.02152339938613497,0.025412377574676275,0.012762904388035496,0.04095716913366183,anal fin origin
9,106,0.9779190441564405,0.9930647200680092,0.0109328322755355,0.006483602226750665,0.016190858927516875,0.02080006674473601,0.01236552329778863,0.03065202244475761,pelvic fin origin
10,106,0.9995773984713783,0.9997015542794848,0.004861254549655091,0.004073576532219049,0.0057525786668607415,0.009094642934905462,0.00769610291968611,0.010665821149549294,pectoral fin base
11,106,0.9996462019668425,0.9985459495788511,0.005459377775507086,0.004246517253776856,0.007002819897045688,0.009863108394775097,0.007858322350170142,0.01239489731540917,posterior opercular margin
