benchmark_id,taxon_candidate,origin_conflict,record_count,pair_count,complete_11_point_pair_count,pairwise_mean_error_px,pairwise_max_error_px,pairwise_mean_error_image_diagonal,review_threshold,above_threshold
flm_b2cce66ce8be0f1e,Hypophthalmichthys molitrix,False,2,1,1,2.305666879684165,7.0710678118654755,0.002305666879684165,0.02,False
flm_b43855f597876850,Coilia nasus,False,2,1,1,4.3583001240285375,20.09975124224178,0.004358300124028537,0.02,False
flm_b64ae5cd37b278f2,Coilia nasus,False,2,1,1,5.099533035631584,21.0,0.005099533035631584,0.02,False
flm_b7b5725a297d600b,Hypophthalmichthys nobilis,True,2,1,1,3.9830872658984124,13.341664064126334,0.003985477276145905,0.02,False
flm_b7bf368d23ba34f7,Coilia nasus,False,2,1,1,4.839037241362976,11.704699910719626,0.0048390372413629765,0.02,False
flm_ba3cdc63e5a5e26e,Coilia nasus,False,2,1,1,32.350903463099854,215.5388596054085,0.03235090346309986,0.02,True
flm_bad784628173d48b,Coilia nasus,False,2,1,1,4.833277164171192,14.0,0.004833277164171192,0.02,False
flm_bb9ff9e524006c8d,Hypophthalmichthys nobilis,False,2,1,1,4.649310080084896,14.035668847618199,0.0046493100800848956,0.02,False
flm_bd1caf90be38cfc2,Coilia nasus,False,2,1,1,4.008005784623737,8.48528137423857,0.004008005784623738,0.02,False
flm_be139d50d0262cd6,Coilia nasus,False,2,1,1,3.2207800089324463,7.211102550927978,0.0032207800089324463,0.02,False
flm_be58d709e40c7a7a,Hypophthalmichthys nobilis,True,2,1,1,8.795047819168593,36.49657518178932,0.008795047819168593,0.02,False
flm_c0232bef5b0a4a0a,Carassius auratus,False,2,1,1,7.041624069955728,52.55473337388365,0.007316688844332045,0.02,False
flm_c0464f4507c6a022,Coilia nasus,False,2,1,1,4.776428721334301,10.198039027185569,0.0047764287213343005,0.02,False
flm_c05f3f1541ca19ac,Mylopharyngodon piceus,False,2,1,1,3.3912379983492116,9.219544457292887,0.0033912379983492115,0.02,False
flm_c20c8bdeec6b3ac3,Mylopharyngodon piceus,False,2,1,1,4.010040589390882,8.0,0.004010040589390882,0.02,False
flm_c4785dbe9a2db9cd,Coilia nasus,False,2,1,1,4.81957637109464,11.40175425099138,0.00481957637109464,0.02,False
flm_c56251ae302bbbe8,Coilia nasus,False,2,1,1,4.12651882249289,10.04987562112089,0.00412651882249289,0.02,False
flm_d20dc574c4d7a2ff,Coilia nasus,False,2,1,1,5.481645808377521,16.1245154965971,0.005481645808377521,0.02,False
flm_d26aa1c7930f1428,Coilia nasus,False,2,1,1,4.786477642035686,11.180339887498949,0.004786477642035686,0.02,False
flm_d7f55c50965dcca1,Coilia nasus,False,2,1,1,25.2611230144303,118.94956914591998,0.0252611230144303,0.02,True
flm_decbe08b4ae8d2e2,Carassius auratus,False,2,1,1,3.090584930941961,8.246211251235321,0.003318170378461014,0.02,False
flm_e038828c619c5268,Coilia nasus,False,2,1,1,6.671595465087818,11.704699910719626,0.006671595465087818,0.02,False
flm_e04c0eb29d5e04ec,Mylopharyngodon piceus,False,2,1,1,4.569298865165341,10.04987562112089,0.004569298865165341,0.02,False
flm_e17e590b8dd8cf2c,Coilia nasus,False,2,1,1,1.778350932136994,5.0990195135927845,0.0017783509321369938,0.02,False
flm_e1fe2e6e351f7c56,Siniperca chuatsi,False,3,3,3,21.101033517828366,235.76683396949622,0.021101033517828365,0.02,True
flm_e934cb6d7968cae2,Coilia nasus,False,2,1,1,34.25334742106015,209.1219739769114,0.03425334742106015,0.02,True
flm_ea13c7013a3454d3,Coilia nasus,False,2,1,1,8.510994357189743,23.021728866442675,0.008510994357189742,0.02,False
flm_ea575d50be28e513,Hypophthalmichthys nobilis,True,2,1,1,6.5954515976365,18.110770276274835,0.0065954515976365,0.02,False
flm_eb0db12e106c89a6,Coilia nasus,False,2,1,1,5.56802805239704,14.560219778561036,0.00556802805239704,0.02,False
flm_ee03ccd055719486,Coilia nasus,False,2,1,1,7.3391936370962725,22.360679774997898,0.007339193637096272,0.02,False
