benchmark_id,canonical_id,point_label,consensus_record_count,x_mad_px,y_mad_px,radial_mad_px
flm_0d7da0569c6b4b05,11,posterior opercular margin,2,1.5,1.5,2.1213203435596424
flm_0f9b221d79ad6026,1,snout tip,2,1.0,1.0,1.4142135623730951
flm_0f9b221d79ad6026,2,nape dorsal outline,2,0.5,0.5,0.7071067811865476
flm_0f9b221d79ad6026,3,dorsal fin origin,2,1.5,1.0,1.8027756377319946
flm_0f9b221d79ad6026,4,dorsal fin insertion,2,4.5,1.0,4.6097722286464435
flm_0f9b221d79ad6026,5,upper caudal fin insertion,2,4.0,1.0,4.123105625617661
flm_0f9b221d79ad6026,6,caudal peduncle midpoint,2,1.5,1.0,1.8027756377319946
flm_0f9b221d79ad6026,7,lower caudal fin insertion,2,0.5,1.5,1.5811388300841898
flm_0f9b221d79ad6026,8,anal fin origin,2,0.0,0.0,0.0
flm_0f9b221d79ad6026,9,pelvic fin origin,2,1.0,0.0,1.0
flm_0f9b221d79ad6026,10,pectoral fin base,2,0.0,0.5,0.5
flm_0f9b221d79ad6026,11,posterior opercular margin,2,0.5,1.0,1.118033988749895
flm_1651f51640d3843f,1,snout tip,2,1.0,2.0,2.23606797749979
flm_1651f51640d3843f,2,nape dorsal outline,2,3.5,0.5,3.5355339059327378
flm_1651f51640d3843f,3,dorsal fin origin,2,1.0,0.5,1.118033988749895
flm_1651f51640d3843f,4,dorsal fin insertion,2,2.0,1.0,2.23606797749979
flm_1651f51640d3843f,5,upper caudal fin insertion,2,5.5,2.0,5.852349955359813
flm_1651f51640d3843f,6,caudal peduncle midpoint,2,1.0,1.0,1.4142135623730951
flm_1651f51640d3843f,7,lower caudal fin insertion,2,3.0,0.5,3.0413812651491097
flm_1651f51640d3843f,8,anal fin origin,2,39.0,8.5,39.91553582253406
flm_1651f51640d3843f,9,pelvic fin origin,2,49.5,1.5,49.52272205765753
flm_1651f51640d3843f,10,pectoral fin base,2,1.5,0.5,1.5811388300841898
flm_1651f51640d3843f,11,posterior opercular margin,2,0.5,0.0,0.5
flm_17dd905b5eb30122,1,snout tip,2,0.0,0.0,0.0
flm_17dd905b5eb30122,2,nape dorsal outline,2,1.0,1.0,1.4142135623730951
flm_17dd905b5eb30122,3,dorsal fin origin,2,1.5,1.0,1.8027756377319946
flm_17dd905b5eb30122,4,dorsal fin insertion,2,0.5,0.5,0.7071067811865476
flm_17dd905b5eb30122,5,upper caudal fin insertion,2,8.0,1.5,8.139410298049853
flm_17dd905b5eb30122,6,caudal peduncle midpoint,2,1.0,0.0,1.0
flm_17dd905b5eb30122,7,lower caudal fin insertion,2,4.0,0.5,4.031128874149275
flm_17dd905b5eb30122,8,anal fin origin,2,3.0,0.5,3.0413812651491097
flm_17dd905b5eb30122,9,pelvic fin origin,2,0.5,0.5,0.7071067811865476
flm_17dd905b5eb30122,10,pectoral fin base,2,4.0,0.5,4.031128874149275
flm_17dd905b5eb30122,11,posterior opercular margin,2,0.0,0.5,0.5
flm_19603ea5e6c7f328,1,snout tip,2,1.0,0.0,1.0
flm_19603ea5e6c7f328,2,nape dorsal outline,2,1.0,1.0,1.4142135623730951
flm_19603ea5e6c7f328,3,dorsal fin origin,2,1.5,0.5,1.5811388300841898
flm_19603ea5e6c7f328,4,dorsal fin insertion,2,1.5,1.0,1.8027756377319946
flm_19603ea5e6c7f328,5,upper caudal fin insertion,2,7.0,0.5,7.0178344238090995
flm_19603ea5e6c7f328,6,caudal peduncle midpoint,2,2.5,0.0,2.5
flm_19603ea5e6c7f328,7,lower caudal fin insertion,2,7.0,0.5,7.0178344238090995
flm_19603ea5e6c7f328,8,anal fin origin,2,2.0,0.5,2.0615528128088303
flm_19603ea5e6c7f328,9,pelvic fin origin,2,1.5,0.5,1.5811388300841898
flm_19603ea5e6c7f328,10,pectoral fin base,2,2.5,0.5,2.5495097567963922
flm_19603ea5e6c7f328,11,posterior opercular margin,2,0.5,1.0,1.118033988749895
flm_200ebcf2f6959d9f,1,snout tip,2,0.0,0.5,0.5
flm_200ebcf2f6959d9f,2,nape dorsal outline,2,2.5,0.5,2.5495097567963922
flm_200ebcf2f6959d9f,3,dorsal fin origin,2,0.5,0.0,0.5
flm_200ebcf2f6959d9f,4,dorsal fin insertion,2,0.5,2.5,2.5495097567963922
flm_200ebcf2f6959d9f,5,upper caudal fin insertion,2,0.5,4.0,4.031128874149275
flm_200ebcf2f6959d9f,6,caudal peduncle midpoint,2,0.0,0.0,0.0
flm_200ebcf2f6959d9f,7,lower caudal fin insertion,2,1.0,3.5,3.640054944640259
flm_200ebcf2f6959d9f,8,anal fin origin,2,0.5,2.0,2.0615528128088303
flm_200ebcf2f6959d9f,9,pelvic fin origin,2,0.5,0.0,0.5
flm_200ebcf2f6959d9f,10,pectoral fin base,2,0.0,1.0,1.0
flm_200ebcf2f6959d9f,11,posterior opercular margin,2,2.5,1.0,2.692582403567252
flm_21046a35b5b34ff8,1,snout tip,2,1.0,1.5,1.8027756377319946
flm_21046a35b5b34ff8,2,nape dorsal outline,2,0.5,0.0,0.5
flm_21046a35b5b34ff8,3,dorsal fin origin,2,1.5,0.5,1.5811388300841898
flm_21046a35b5b34ff8,4,dorsal fin insertion,2,3.5,0.5,3.5355339059327378
flm_21046a35b5b34ff8,5,upper caudal fin insertion,2,4.5,0.0,4.5
flm_21046a35b5b34ff8,6,caudal peduncle midpoint,2,2.0,0.0,2.0
flm_21046a35b5b34ff8,7,lower caudal fin insertion,2,1.5,1.0,1.8027756377319946
flm_21046a35b5b34ff8,8,anal fin origin,2,1.5,2.0,2.5
flm_21046a35b5b34ff8,9,pelvic fin origin,2,1.5,1.0,1.8027756377319946
flm_21046a35b5b34ff8,10,pectoral fin base,2,0.0,0.5,0.5
flm_21046a35b5b34ff8,11,posterior opercular margin,2,1.5,1.0,1.8027756377319946
flm_25c7bd9bb75f0b92,1,snout tip,2,1.5,1.5,2.1213203435596424
flm_25c7bd9bb75f0b92,2,nape dorsal outline,2,0.0,1.0,1.0
flm_25c7bd9bb75f0b92,3,dorsal fin origin,2,0.5,1.0,1.118033988749895
flm_25c7bd9bb75f0b92,4,dorsal fin insertion,2,2.0,0.5,2.0615528128088303
flm_25c7bd9bb75f0b92,5,upper caudal fin insertion,2,2.5,0.5,2.5495097567963922
flm_25c7bd9bb75f0b92,6,caudal peduncle midpoint,2,2.5,1.5,2.9154759474226504
