source_group_code,taxon_candidate,origin_label_source,count,minimum,q1,median,q3,maximum,display_label
farmed_carassius_auratus,Carassius auratus,farmed,243,5.684341886080802e-14,0.0002000000000066393,0.0002000000000066393,0.0002000000000066393,0.00043296189208777045,F C. auratus
farmed_coilia_nasus,Coilia nasus,farmed,102,0.0002000000000066393,0.0002000000000066393,0.0002000000000066393,0.0002000000000066393,0.0002000000000066393,F C. nasus
farmed_ctenopharyngodon_idella,Ctenopharyngodon idella,farmed,107,0.00015000000001919034,0.0002000000000066393,0.0002000000000066393,0.0002000000000066393,0.00029799999998658677,F C. idella
farmed_culter_alburnus,Culter alburnus,farmed,102,0.0001999999999497959,0.0002000000000066393,0.0002000000000066393,0.0002000000000066393,0.00020000000003506102,F C. alburnus
farmed_hypophthalmichthys_molitrix,Hypophthalmichthys molitrix,farmed,103,0.00015000000001919034,0.0002000000000066393,0.0002000000000066393,0.0002000000000066393,0.00020000000003506102,F H. molitrix
farmed_hypophthalmichthys_nobilis,Hypophthalmichthys nobilis,farmed,109,0.00015000000001919034,0.0002000000000066393,0.0002000000000066393,0.0002000000000066393,0.00029000000000678483,F H. nobilis
farmed_megalobrama_amblycephala,Megalobrama amblycephala,farmed,102,0.00015000000001919034,0.0002000000000066393,0.0002000000000066393,0.0002000000000066393,0.00044007272119477134,F M. amblycephala
farmed_mylopharyngodon_piceus,Mylopharyngodon piceus,farmed,132,0.00014999999999076863,0.0002000000000066393,0.0002000000000066393,0.0002000000000066393,0.0002520000000174605,F M. piceus
farmed_siniperca_chuatsi,Siniperca chuatsi,farmed,118,0.0001880000000085147,0.0002000000000066393,0.0002000000000066393,0.0002000000000066393,0.0002959999999916363,F S. chuatsi
wild_coilia_nasus,Coilia nasus,wild,1255,0.0002000000000066393,0.0002000000000066393,0.0002000000000066393,0.0002000000000066393,0.00020000000003506102,W C. nasus
wild_culter_alburnus,Culter alburnus,wild,126,0.00011699999999592592,0.0002000000000066393,0.0002000000000066393,0.0002527499999871452,0.00040160677285411923,W C. alburnus
wild_hypophthalmichthys_molitrix,Hypophthalmichthys molitrix,wild,125,6.355287432313019e-14,0.0002000000000066393,0.0002000000000066393,0.0002000000000066393,0.0002959999999916363,W H. molitrix
wild_hypophthalmichthys_nobilis,Hypophthalmichthys nobilis,wild,74,0.00015999999999394277,0.0002000000000066393,0.0002000000000066393,0.0002000000000066393,0.00029499999999416104,W H. nobilis
